Name,URL,Address,Trust,Postcode,ID,Hospital,Rating,Care Quality Commission inspection ratings,Friends and Family Test score: A&E,Friends and Family Test Score: Community,Friends and Family Test score: Inpatient,Friends and Family Test score: Maternity,Friends and Family test score: Outpatients,Friends and Family Test score: Staff - Care,Friends and Family Test score: Staff - Work,Friends and Family Test score: Mental Health,Friends and Family Test score: Ambulance patient transport
Wantage Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100166,"Garston Lane, Wantage, Oxfordshire, OX12 7AS",Oxford Health NHS Foundation Trust,OX12 7AS,100166,Wantage Community Hospital,NA,No rating,NA,96%,NA,NA,NA,79%,66%,92%,NA
Warneford Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=95590,"Warneford Lane, Headington, Oxford, Oxfordshire, OX3 7JX",Oxford Health NHS Foundation Trust,OX3 7JX,95590,Warneford Hospital,NA,NA,NA,96%,NA,NA,NA,79%,66%,92%,NA
Whiteleaf Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99202,"Bierton Road, Aylesbury, Buckinghamshire, HP20 1EG",Oxford Health NHS Foundation Trust,HP20 1EG,99202,Whiteleaf Centre,NA,NA,NA,96%,NA,NA,NA,79%,66%,92%,NA
Witney Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99174,"Welch Way, Witney, Oxfordshire, OX28 6JJ",Oxford Health NHS Foundation Trust,OX28 6JJ,99174,Witney Community Hospital,NA,No rating,NA,96%,NA,NA,NA,79%,66%,92%,NA
Birmingham Children's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151480,"Steelhouse Lane, Birmingham, B4 6NW",Oxford University Hospitals NHS Foundation Trust,B4 6NW,151480,Birmingham Children's Hospital,NA,NA,NA,NA,NA,NA,95%,86%,61%,NA,NA
Bristol Spire Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115228,"The Glen, Redland Hill, Durdham Down, Bristol, Avon, BS6 6UT",Oxford University Hospitals NHS Foundation Trust,BS6 6UT,115228,Spire Bristol Hospital,NA,Good,NA,NA,96%,NA,96%,NA,NA,NA,NA
Churchill Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1675,"Old Road, Headington, Oxford, Oxfordshire, OX3 7LE",Oxford University Hospitals NHS Foundation Trust,OX3 7LE,1675,Churchill Hospital,NA,Good,NA,NA,96%,NA,95%,86%,61%,NA,NA
Derriford Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115870,"Derriford Road, Crownhill, Plymouth, Devon, PL6 8DH",Oxford University Hospitals NHS Foundation Trust,PL6 8DH,115870,Derriford Hospital,NA,Requires Improvement,90%,94%,98%,NA,95%,83%,67%,NA,NA
Ellen Badger Hospital (Shipston On Stour),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99834,"Stratford Road, Shipston-On-Stour, Warwickshire, CV36 4AX",Oxford University Hospitals NHS Foundation Trust,CV36 4AX,99834,Ellen Badger Hospital,NA,No rating,NA,97%,NA,NA,96%,NA,NA,NA,NA
Faringdon Day Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115227,"Oakwood House, Cedar Road, Faringdon, Oxfordshire, SN7 8DS",Oxford University Hospitals NHS Foundation Trust,SN7 8DS,115227,Faringdon Day Hospital,NA,NA,NA,NA,NA,NA,95%,86%,61%,NA,NA
Frenchay Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148922,"Frenchay Park Road, Bristol, Avon, BS16 1LE",Oxford University Hospitals NHS Foundation Trust,BS16 1LE,148922,Frenchay Hospital,NA,NA,NA,NA,NA,NA,96%,NA,NA,NA,NA
Frimley Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148921,"Portsmouth Road, Frimley, Camberley, Surrey, GU16 7UJ",Oxford University Hospitals NHS Foundation Trust,GU16 7UJ,148921,Frimley Park Hospital,NA,Outstanding,89%,98%,98%,NA,98%,88%,68%,NA,NA
Horton General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1545,"Oxford Road, Banbury, Oxfordshire, OX16 9AL",Oxford University Hospitals NHS Foundation Trust,OX16 9AL,1545,Horton General Hospital,NA,Good,89%,NA,95%,NA,95%,86%,61%,NA,NA
John Radcliffe Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1709,"Headley Way, Headington, Oxford, Oxfordshire, OX3 9DU",Oxford University Hospitals NHS Foundation Trust,OX3 9DU,1709,John Radcliffe Hospital,NA,Requires Improvement,87%,NA,95%,NA,95%,86%,61%,NA,NA
Milton Keynes General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99653,"Milton Keynes Hospital, Standing Way, Eaglestone, Milton Keynes, Buckinghamshire, MK6 5LD",Oxford University Hospitals NHS Foundation Trust,MK6 5LD,99653,Milton Keynes Hospital,NA,Good,86%,NA,97%,NA,97%,81%,70%,NA,NA
Moreton District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=137790,"Hospital Road, Moreton-In-Marsh, Gloucestershire, GL56 0BS",Oxford University Hospitals NHS Foundation Trust,GL56 0BS,137790,Moreton District Hospital,NA,NA,NA,NA,NA,NA,95%,86%,61%,NA,NA
North Cotswold Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115061,"Stow Road, Moreton-In-Marsh, Gloucestershire, GL56 0DS",Oxford University Hospitals NHS Foundation Trust,GL56 0DS,115061,North Cotswold Hospital,NA,NA,NA,NA,NA,NA,NA,88%,58%,NA,NA
Northampton General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115874,"Cliftonville, Northampton, Northamptonshire, NN1 5BD",Oxford University Hospitals NHS Foundation Trust,NN1 5BD,115874,Northampton General Hospital (Acute),NA,Requires Improvement,81%,NA,94%,NA,93%,87%,71%,NA,NA
Oxford City Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=135910,"The Fulbrook Centre, Churchill Hospital, Headley Way, Headington, Oxford, Oxfordshire, OX3 7JU",Oxford University Hospitals NHS Foundation Trust,OX3 7JU,135910,Oxford City Community Hospital,NA,NA,NA,NA,NA,NA,95%,86%,61%,NA,NA
Queen Elizabeth Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128746,"Mindelsohn Way, Edgbaston, Birmingham, West Midlands, B15 2GW",Oxford University Hospitals NHS Foundation Trust,B15 2GW,128746,Queen Elizabeth Hospital Birmingham,NA,Good,75%,97%,93%,NA,95%,83%,65%,NA,NA
Royal National Orthopaedic Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=148920,"Brockley Hill, Stanmore, Middlesex, HA7 4LP",Oxford University Hospitals NHS Foundation Trust,HA7 4LP,148920,The Royal National Orthopaedic Hospital (Stanmore),NA,Good,NA,NA,97%,NA,97%,4,4,NA,NA
Royal Victoria Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151481,"274 Grosvenor Road, Belfast, BT12 6BA",Oxford University Hospitals NHS Foundation Trust,BT12 6BA,151481,Royal Victoria Hospital,NA,NA,NA,NA,NA,NA,95%,86%,61%,NA,NA
St James' S University Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151283,"Beckett Street, Leeds, LS9 7TF",Oxford University Hospitals NHS Foundation Trust,LS9 7TF,151283,St James's Hospital,NA,Requires Improvement,87%,NA,95%,NA,96%,88%,72%,NA,NA
St Marks Hospital London,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151281,"Watford Road, Harrow, HA1 3UJ",Oxford University Hospitals NHS Foundation Trust,HA1 3UJ,151281,St Mark's Hospital,NA,No rating,NA,93%,98%,NA,95%,NA,NA,NA,NA
Stoke Mandeville Hospital (Aylesbury),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99835,"Mandeville Road, Aylesbury, Buckinghamshire, HP21 8AL",Oxford University Hospitals NHS Foundation Trust,HP21 8AL,99835,Stoke Mandeville Hospital,NA,Good,77%,89%,83%,NA,93%,77%,59%,NA,NA
Thame Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99657,"East Street, Thame, Oxfordshire, OX9 3JT",Oxford University Hospitals NHS Foundation Trust,OX9 3JT,99657,Thame Community Hospital,NA,No rating,NA,89%,NA,NA,93%,77%,59%,NA,NA
The Foscote Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115872,"2 Foscote Rise, Banbury, Oxfordshire, OX16 9XP",Oxford University Hospitals NHS Foundation Trust,OX16 9XP,115872,The Foscote Hospital,NA,NA,NA,NA,NA,NA,NA,86%,61%,NA,NA
The Ridgeway Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115871,"Moormead Road, Wroughton, Swindon, Wiltshire, SN4 9DD",Oxford University Hospitals NHS Foundation Trust,SN4 9DD,115871,BMI The Ridgeway Hospital,NA,Requires Improvement,NA,NA,100%,NA,NA,NA,NA,NA,NA
University Hospital Of Wales,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151483,"C/O John Radcliffe Hospital, Headley Way, Headington, Oxford, OX3 9DU",Oxford University Hospitals NHS Foundation Trust,OX3 9DU,151483,University Hospital Of Wales,NA,NA,NA,NA,NA,NA,95%,86%,61%,NA,NA
Upton Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=98075,"Surgery House, Albert Street, Slough, Berkshire, SL1 2BJ",Oxford University Hospitals NHS Foundation Trust,SL1 2BJ,98075,Upton Hospital,NA,No rating,NA,96%,NA,NA,NA,83%,73%,79%,NA
Wallingford Community Hospital - Oxford University Hospitals NHS Foundation Trust,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1728,"Reading Road, Reading Road, Wallingford, Oxfordshire, OX10 9DU",Oxford University Hospitals NHS Foundation Trust,OX10 9DU,1728,Wallingford Community Hospital,NA,No rating,NA,96%,NA,NA,NA,79%,66%,92%,NA
Wantage Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1127,"Garston Lane, Garston Lane, Wantage, Oxfordshire, OX12 7AS",Oxford University Hospitals NHS Foundation Trust,OX12 7AS,1127,Wantage Community Hospital,NA,No rating,NA,96%,NA,NA,NA,79%,66%,92%,NA
West Berkshire Community Hospitals,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115875,"Benham Hill, London Road, Thatcham, Berkshire, RG18 3AS",Oxford University Hospitals NHS Foundation Trust,RG18 3AS,115875,West Berkshire Community Hospital,NA,NA,NA,96%,NA,NA,NA,83%,73%,79%,NA
Witney Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88846,"Welch Way, Witney, Oxfordshire, OX28 6JJ",Oxford University Hospitals NHS Foundation Trust,OX28 6JJ,88846,Witney Community Hospital,NA,No rating,NA,96%,NA,NA,NA,79%,66%,92%,NA
Wycombe General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99836,"Queen Alexandra Road, High Wycombe, Buckinghamshire, HP11 2TT",Oxford University Hospitals NHS Foundation Trust,HP11 2TT,99836,Wycombe Hospital,NA,Good,NA,89%,96%,NA,93%,77%,59%,NA,NA
Bridgeways Day Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=102274,"Turpington Lane, Bromley, Kent, BR2 8JA",Oxleas NHS Foundation Trust,BR2 8JA,102274,Bridgeways Day Hospital,NA,NA,NA,91%,NA,NA,NA,73%,65%,86%,NA
Eltham Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111450,"30 Passey Place, London, SE9 5DQ",Oxleas NHS Foundation Trust,SE9 5DQ,111450,Eltham Community Hospital,NA,No rating,NA,91%,NA,NA,NA,73%,65%,86%,NA
Erith and District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=107125,"Park Crescent, Erith, Kent, DA8 3EE",Oxleas NHS Foundation Trust,DA8 3EE,107125,Erith and District Hospital,NA,No rating,NA,NA,NA,NA,98%,82%,67%,NA,NA
Gravesham Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=147094,"Bath Street, Gravesend, Kent, DA11 0DG",Oxleas NHS Foundation Trust,DA11 0DG,147094,Gravesham Community Hospital,NA,No rating,NA,97%,NA,NA,NA,92%,80%,NA,NA
Green Parks House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=34721,"Princess Royal University Hospital, Farnborough Common, Orpington, Kent, BR6 8NY",Oxleas NHS Foundation Trust,BR6 8NY,34721,Green Parks House,NA,NA,NA,91%,NA,NA,NA,73%,65%,86%,NA
Memorial Hospital (Greenwich),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2324,"Shooters Hill, Woolwich, London, SE18 3RG",Oxleas NHS Foundation Trust,SE18 3RG,2324,Memorial Hospital (Greenwich),NA,No rating,NA,91%,NA,NA,NA,73%,65%,86%,NA
Oxleas House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2611,"Queen Elizabeth Hospital, Stadium Road, London, SE18 4QH",Oxleas NHS Foundation Trust,SE18 4QH,2611,Oxleas House,NA,NA,NA,91%,NA,NA,NA,73%,65%,86%,NA
Queen Mary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2857,"Frognal Avenue, Sidcup, Kent, DA14 6LT",Oxleas NHS Foundation Trust,DA14 6LT,2857,Queen Mary,NA,NA,NA,91%,NA,NA,NA,73%,65%,86%,NA
Queen Marys Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=97272,"Frognal Avenue, Sidcup, Kent, DA14 6LT",Oxleas NHS Foundation Trust,DA14 6LT,97272,Queen Mary,NA,NA,NA,91%,NA,NA,NA,73%,65%,86%,NA
Upton Day Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128670,"14 Upton Road, Bexleyheath, Kent, DA6 8LQ",Oxleas NHS Foundation Trust,DA6 8LQ,128670,Upton Day Hospital,NA,NA,NA,91%,NA,NA,NA,73%,65%,86%,NA
Birch Hill Hospital (Floyd Unit),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2252,"Birch Hill Hospital, Birch Road, Wardle, Rochdale, Lancashire, OL12 9QB",Pennine Acute Hospitals NHS Trust,OL12 9QB,2252,Birch Hill Hospital (Floyd Unit),NA,NA,NA,92%,3,NA,90%,74%,57%,NA,NA
Fairfield General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2052,"Fairfield General Hospital, Rochdale Old Road, Bury, Lancashire, BL9 7TD",Pennine Acute Hospitals NHS Trust,BL9 7TD,2052,Fairfield General Hospital,NA,Outstanding,85%,92%,91%,NA,90%,74%,57%,NA,NA
North Manchester General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2068,"Delaunays Road, Crumpsall, Manchester, Greater Manchester, M8 5RB",Pennine Acute Hospitals NHS Trust,M8 5RB,2068,North Manchester General Hospital,NA,Requires Improvement,79%,92%,90%,NA,90%,74%,57%,NA,NA
Rochdale Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1801,"Whitehall Street, Rochdale, Lancashire, OL12 0NB",Pennine Acute Hospitals NHS Trust,OL12 0NB,1801,Rochdale Infirmary,NA,Good,87%,92%,92%,NA,90%,74%,57%,NA,NA
Royal Oldham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=862,"Rochdale Road, Oldham, Lancashire, OL1 2JH",Pennine Acute Hospitals NHS Trust,OL1 2JH,862,Royal Oldham Hospital,NA,Requires Improvement,82%,92%,91%,NA,90%,74%,57%,NA,NA
Altrincham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=131649,"Railway Street, Altrincham, Cheshire, WA14 2RE",Pennine Care NHS Foundation Trust,WA14 2RE,131649,Altrincham Hospital,NA,NA,NA,99%,NA,NA,96%,79%,62%,NA,NA
Birch Hill Hospital Mental Health Services,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3025,"Union Road, ., Rochdale, Lancashire, OL12 9QB",Pennine Care NHS Foundation Trust,OL12 9QB,3025,Birch Hill Hospital (Floyd Unit),NA,NA,NA,92%,3,NA,90%,74%,57%,NA,NA
Child & Family Service,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=103598,"Fairfield General Hospital, Rochdale, BL9 7TD",Pennine Care NHS Foundation Trust,BL9 7TD,103598,Child & Family Service,NA,NA,NA,100%,NA,NA,NA,70%,63%,91%,NA
Fairfield General Hospital Mental Health Services,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2922,"Rochdale Old Road, ., Bury, Lancashire, BL9 7TD",Pennine Care NHS Foundation Trust,BL9 7TD,2922,Fairfield General Hospital,NA,Outstanding,85%,92%,91%,NA,90%,74%,57%,NA,NA
Healthy Minds Stockport,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2487,"Poplar Grove, Stepping Hill Hospital Mental Health Services, Stockport, Cheshire, SK2 7JE",Pennine Care NHS Foundation Trust,SK2 7JE,2487,Stepping Hill Hospital,NA,Requires Improvement,83%,93%,94%,NA,93%,70%,52%,NA,NA
Royal Oldham Hospital Mental Health Services,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2401,"Westhulme Avenue, Oldham, Lancashire, OL1 2PN",Pennine Care NHS Foundation Trust,OL1 2PN,2401,Royal Oldham Hospital,NA,Requires Improvement,82%,92%,91%,NA,90%,74%,57%,NA,NA
Tameside Hospital Mental Health Services,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2554,"Fountain Street, ., Ashton-under-Lyne, Lancashire, OL6 9RW",Pennine Care NHS Foundation Trust,OL6 9RW,2554,Tameside & Glossop Integrated Care NHS Foundation Trust,NA,Good,68%,NA,96%,NA,91%,82%,70%,NA,NA
The Priory Cheadle Royal Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=131651,"100 Wilmslow Road, Heald Green, Cheadle, Cheshire, SK8 3DG",Pennine Care NHS Foundation Trust,SK8 3DG,131651,Priory Hospital Cheadle Royal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Watergrove Day Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119668,"Birch Hill Hospital, Birch Road, Rochdale, Lancashire, OL12 9QB",Pennine Care NHS Foundation Trust,OL12 9QB,119668,Watergrove Day Hospital,NA,NA,NA,100%,NA,NA,NA,70%,63%,91%,NA
Dorset County Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111451,"Dorset County Hospital, Williams Avenue, Dorchester, Dorset, DT1 2JY",Poole Hospital NHS Foundation Trust,DT1 2JY,111451,Dorset County Hospital,NA,Good,88%,NA,98%,NA,95%,84%,68%,NA,NA
Poole Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=595,"Longfleet Road, Poole, Dorset, BH15 2JB",Poole Hospital NHS Foundation Trust,BH15 2JB,595,Poole Hospital,NA,NA,86%,NA,99%,NA,96%,84%,65%,NA,NA
Royal Bournemouth Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113663,"Castle Lane East, Bournemouth, Dorset, BH7 7DW",Poole Hospital NHS Foundation Trust,BH7 7DW,113663,Royal Bournemouth Hospital,NA,Good,86%,NA,98%,NA,98%,87%,74%,NA,NA
Wimborne Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100000,"Victoria Road, Wimborne, Dorset, BH21 1ER",Poole Hospital NHS Foundation Trust,BH21 1ER,100000,Victoria Hospital,NA,NA,NA,96%,NA,NA,NA,82%,67%,91%,NA
Alton Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99904,"Chawton Park Road, Alton, Hampshire, GU34 1RJ",Portsmouth Hospitals NHS Trust,GU34 1RJ,99904,Alton Community Hospital,NA,No rating,NA,98%,NA,NA,NA,NA,NA,84%,NA
Andover War Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100117,"Charlton Road, Andover, Hampshire, SP10 3LB",Portsmouth Hospitals NHS Trust,SP10 3LB,100117,Andover War Memorial Hospital,NA,Requires Improvement,94%,NA,99%,NA,95%,82%,57%,NA,NA
Basingstoke Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99458,"Aldermaston Road, Basingstoke, Hampshire, RG24 9NA",Portsmouth Hospitals NHS Trust,RG24 9NA,99458,Basingstoke and North Hampshire Hospital,NA,Requires Improvement,86%,NA,97%,NA,95%,82%,57%,NA,NA
Bognor Regis War Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99456,"Shripney Road, Bognor Regis, West Sussex, PO22 9PP",Portsmouth Hospitals NHS Trust,PO22 9PP,99456,Bognor Regis War Memorial Hospital,NA,NA,NA,97%,NA,NA,NA,87%,68%,NA,NA
Chase Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113768,"Conde Way, Bordon, Hampshire, GU35 0YZ",Portsmouth Hospitals NHS Trust,GU35 0YZ,113768,Chase Community Hospital,NA,NA,NA,97%,NA,NA,NA,87%,71%,86%,NA
Emsworth Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88950,"Victoria Cottage Hospital, North Street, Emsworth, Hampshire, PO10 7DD",Portsmouth Hospitals NHS Trust,PO10 7DD,88950,Emsworth Hospital,NA,NA,NA,NA,NA,NA,94%,79%,64%,NA,NA
Fareham Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1501,"Brook Lane, Sarisbury Green, Southampton, Hampshire, SO31 7DQ",Portsmouth Hospitals NHS Trust,SO31 7DQ,1501,Fareham Community Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Gosport War Memorial Hospital - Portsmouth Hospitals NHS Trust,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2085,"Bury Road, Gosport, Gosport, Hampshire, PO12 3PW",Portsmouth Hospitals NHS Trust,PO12 3PW,2085,Gosport War Memorial Hospital - Portsmouth Hospitals NHS Trust,NA,No rating,NA,NA,NA,NA,94%,79%,64%,NA,NA
Lymington New Forest Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119446,"Wellworthy Road, Lymington, Hampshire, SO41 8QD",Portsmouth Hospitals NHS Trust,SO41 8QD,119446,Lymington New Forest Hospital,NA,NA,NA,98%,NA,NA,NA,NA,NA,84%,NA
Petersfield Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1952,"Swan Street, Petersfield, Hampshire, GU32 3LB",Portsmouth Hospitals NHS Trust,GU32 3LB,1952,Petersfield Hospital - Southern Health NHS Foundation Trust,NA,No rating,NA,98%,NA,NA,NA,NA,NA,84%,NA
Queen Alexandra Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1322,"Southwick Hill Road, Cosham, Portsmouth, Hampshire, PO6 3LY",Portsmouth Hospitals NHS Trust,PO6 3LY,1322,Queen Alexandra Hospital,NA,Good,88%,NA,98%,NA,94%,79%,64%,NA,NA
Royal Hampshire County Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99457,"Romsey Road, Winchester, Hampshire, SO22 5DG",Portsmouth Hospitals NHS Trust,SO22 5DG,99457,Royal Hampshire County Hospital,NA,Requires Improvement,89%,NA,97%,NA,95%,82%,57%,NA,NA
Royal South Hants Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113755,"Graham Road, Southampton, Hampshire, SO14 0YG",Portsmouth Hospitals NHS Trust,SO14 0YG,113755,Southampton NHS Treatment Centre,NA,Outstanding,NA,97%,98%,NA,NA,NA,NA,NA,NA
Southampton General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100042,"Tremona Road, Southampton, Hampshire, SO16 6YD",Portsmouth Hospitals NHS Trust,SO16 6YD,100042,Southampton General Hospital,NA,Requires Improvement,100%,NA,99%,NA,97%,93%,77%,NA,NA
St James Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113788,"Locksway Road, Southsea, Hampshire, PO4 8LD",Portsmouth Hospitals NHS Trust,PO4 8LD,113788,St James,NA,No rating,NA,97%,NA,NA,NA,87%,71%,86%,NA
St Mary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2221,"West Wing, Milton Road, Portsmouth, Hampshire, PO3 6AD",Portsmouth Hospitals NHS Trust,PO3 6AD,2221,St Mary,NA,No rating,NA,NA,NA,NA,94%,79%,64%,NA,NA
St Richard's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99610,"Spitalfield Lane, Chichester, West Sussex, PO19 6SE",Portsmouth Hospitals NHS Trust,PO19 6SE,99610,St Richard's Hospital,NA,Outstanding,91%,NA,97%,NA,98%,94%,87%,NA,NA
Bexhill Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128662,"Holliers Hill, Bexhill-On-Sea, East Sussex, TN40 2DZ",Queen Victoria Hospital NHS Foundation Trust,TN40 2DZ,128662,Bexhill Hospital,NA,NA,NA,98%,100%,NA,97%,82%,62%,NA,NA
Buckland Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1527,"Coombe Valley Road, Combe Valley Road, Dover, Kent, CT17 0HD",Queen Victoria Hospital NHS Foundation Trust,CT17 0HD,1527,Buckland Hospital,NA,Good,98%,NA,NA,NA,92%,73%,55%,NA,NA
Conquest Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128445,"The Ridge, St. Leonards-On-Sea, East Sussex, TN37 7RD",Queen Victoria Hospital NHS Foundation Trust,TN37 7RD,128445,Conquest Hospital,NA,Outstanding,86%,98%,97%,NA,97%,82%,62%,NA,NA
East Surrey Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2157,"Canada Avenue, Surrey, Redhill, Surrey, RH1 5RH",Queen Victoria Hospital NHS Foundation Trust,RH1 5RH,2157,East Surrey Hospital,NA,Outstanding,92%,NA,95%,NA,90%,91%,80%,NA,NA
Eastbourne District General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128661,"Kings Drive, Eastbourne, East Sussex, BN21 2UD",Queen Victoria Hospital NHS Foundation Trust,BN21 2UD,128661,Eastbourne District General Hospital,NA,Good,96%,98%,99%,NA,97%,82%,62%,NA,NA
Queen Elizabeth The Queen Mother Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128528,"St. Peters Road, Margate, Kent, CT9 4AN",Queen Victoria Hospital NHS Foundation Trust,CT9 4AN,128528,Queen Elizabeth The Queen Mother Hospital,NA,Requires Improvement,78%,NA,95%,NA,92%,73%,55%,NA,NA
Queen Victoria Hospital (East Grinstead),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1798,"Holtye Road, East Grinstead, West Sussex, RH19 3DZ",Queen Victoria Hospital NHS Foundation Trust,RH19 3DZ,1798,Queen Victoria Hospital (East Grinstead),NA,Good,96%,NA,98%,NA,95%,97%,71%,NA,NA
